device: cuda
tokenizer: tiktoken
vocab_size: 50257
dataset_tokens: 338025
model_parameters: 52.93M
tokens_per_step: 16384
step 0: train loss 10.8549, val loss 10.8521
step 286: loss 4.0498, step_time 114.77 ms, throughput 142750.79 tokens/s
step 287: loss 4.1973, step_time 114.87 ms, throughput 142626.48 tokens/s
step 288: loss 4.1343, step_time 113.89 ms, throughput 143855.25 tokens/s
step 289: loss 4.0897, step_time 114.58 ms, throughput 142994.04 tokens/s
step 290: loss 4.1346, step_time 115.11 ms, throughput 142337.60 tokens/s
step 291: loss 4.1451, step_time 114.99 ms, throughput 142485.03 tokens/s
step 292: loss 4.0188, step_time 114.33 ms, throughput 143301.93 tokens/s
step 293: loss 4.0851, step_time 115.62 ms, throughput 141704.64 tokens/s
step 294: loss 4.0275, step_time 115.33 ms, throughput 142062.68 tokens/s
step 295: loss 4.0070, step_time 114.82 ms, throughput 142688.67 tokens/s
step 296: loss 4.0412, step_time 114.89 ms, throughput 142601.00 tokens/s
step 297: loss 4.0728, step_time 115.40 ms, throughput 141978.88 tokens/s
step 298: loss 4.0649, step_time 115.01 ms, throughput 142455.77 tokens/s
step 299: loss 4.0594, step_time 114.80 ms, throughput 142715.35 tokens/s
